Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dental-investment-powder,Dental Investment Powder,"<p><h1 class=""name"">Phosphate - Bonded Investment</h1></p>
<p><h1 class=""name"">Graphite free</h1></p>
<p>Phosphate-bonded investment for high precision casting developed for fast-fire or traditional processes. Graphite free. Also suitable for pressed ceramics. Features: High casting fluidity, high precision casting is obtained, excellent reproducibility and superficial smoothness, compatible with non-precious and precious alloys and pressable ceramics, it can be used with the free or controllable expansion technique.</p>",Techim,,Investment & Alloy Material,Crown and Bridges,TRUE,Title,Default Title,,,,,RIV000320,0,shopify,,deny,manual,199,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/RIV000320-Phosphate-bonded-investment.Graphite-free.-Techim-Group.webp,1,Dental Investment Powder,FALSE,Dental Investment Powder,"<p><h1 class=""name"">Phosphate - Bonded Investment</h1></p>
<p><h1 class=""name"">Graphite free</h1></p>",,g,,,active
investment-liquid-for-dental-molding-applications,Investment Liquid | For Dental Molding Applications,"<p><h1 class=""name"">Special Liquid for Expansion Control</h1></p>
<p>SIL 30% e 40% for high expansion. Special liquid for expansion control for phosphate-bonded investments.</p>
<p>Features: Normal version 30 %, For high expansion 40%, withstands temperatures not below 5°C.</p>",Techim,,Investment & Alloy Material,Crown and Bridges,TRUE,Title,Default Title,,,,,RIV000140,0,shopify,,deny,manual,50,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Special-liquid-for-expansion-control-Techim.jpg,1,Investment Liquid | For Dental Molding Applications,FALSE,Investment Liquid | For Dental Molding Applications,"<p><h1 class=""name"">Special Liquid for Expansion Control</h1></p>",,g,,,active
dental-plaster-separator,| Dental Plaster Separator,"<p>Alginate-based isolating material to separate gypsum from resin.</p>
<p>Alginate-based isolating material to separate gypsum from resin.</p>
<p>Characteristics: Minimum thickness, perfect separation between gypsum and resin, easy to spread.</p>",Techim,,Dental Stone,"Acrylics, Crown and Bridges",TRUE,Title,Default Title,,,,,ISO000011,0,shopify,,deny,manual,39,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Picture3.jpg,1,| Dental Plaster Separator,FALSE,| Dental Plaster Separator,<p>Alginate-based isolating material to separate gypsum from resin.</p>,,g,,,active
magnetics-dental-model-base-attachment-system,Magnetics | Dental Model Base Attachment System,"<p>Magnets with counter-magnets for the split-cast system.</p>
<p><strong>Box containing 10 pieces male and female</strong></p>
<p>Features: Practical, Magnet fixed to holder using resin and Metal treated with anti-oxidiser</p>",Techim,,Instruments & Tools,Dental Stone,TRUE,Title,Default Title,,,,,VAR000282,0,shopify,,deny,manual,120,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/VAR000282-Magnets-with-counter-magnets-for-the-split-cast-system.-Techim-Group.webp,1,Magnetics | Dental Model Base Attachment System,FALSE,Magnetics | Dental Model Base Attachment System,"<p>Magnets with counter-magnets for the split-cast system.</p>
<p><strong>Box containing 10 pieces male and female</strong></p>",,g,,,active
die-stone-t6-ivory-5kg-high-strength-dental-plaster,Die Stone T6 Ivory 5KG | High-Strength Dental Plaster,"<p>With high physical properties suitable for all types of prosthetic works and ideal for dies. It guarantees excellent precision in details and high stability under pressure.</p>
<p>Features: • High compression resistance • High fluidity, thixotropic • Quick and easy to use • Excellent performance under mill. Colours and packaging: Ivory (ideal for Cad Cam scanner): 5 Kg</p>
<p>4 class stone</p>",Techim,,Dental Stone,"Acrylics, Crown and Bridges, Lab Putty",TRUE,Title,Default Title,,,,,GES000094,0,shopify,,deny,manual,60,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/GES000094-Gypsum-suitable-for-all-types-of-prosthetic-works-and-ideal-for-dies-Techim-Group.webp,1,Die Stone T6 Ivory 5KG | High-Strength Dental Plaster,FALSE,Die Stone T6 Ivory 5KG | High-Strength Dental Plaster,<p>With high physical properties suitable for all types of prosthetic works and ideal for dies. It guarantees excellent precision in details and high stability under pressure.</p>,,g,,,active
die-stone-t6-ivory-5kg-high-strength-dental-plaster,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/images-1-e1743243428208.jpg,2,Die Stone T6 Ivory 5KG | High-Strength Dental Plaster,,,,,,,,
super-stone-kg-20-iv-class-dental-product,Super Stone Kg 20  |    Iv Class  | Dental Product,"<p>SUPER STONE Code: GES000037</p>
<p>High resistance and low expansion gypsum, indicated for the development of antagonist models and for framework and removable prostheses. Compatible with all casting materials and with a limited occlusal abrasion.</p>
<p>Features: • High hardness • Creamy paste • Good reproduction of details • Smooth, hard and precise surface • Good reproduction of details EXPANSION AFTER 2 HOURS 0.1%.</p>
<p>Colours and packaging: White: 20 kg</p>",Techim,,Dental Stone,"Acrylics, Crown and Bridges, Lab Putty",TRUE,Title,Default Title,,,,,GES000037,0,shopify,,deny,manual,110,120,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/GES000037-Gypsum-for-frame-work-and-removable-prostheses.-Techim-Group.webp,1,Super Stone Kg 20  |    Iv Class  | Dental Product,FALSE,Super Stone Kg 20  |    Iv Class  | Dental Product,"<p>SUPER STONE Code: GES000037</p>
<p>High resistance and low expansion gypsum, indicated for the development of antagonist models and for framework and removable prostheses. Compatible with all casting materials and with a limited occlusal abrasion.</p>",,g,,,active
super-stone-kg-20-iv-class-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/edorock-max_2_ok.jpg,2,Super Stone Kg 20  |    Iv Class  | Dental Product,,,,,,,,
super-stone-kg-20-iv-class-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/download.jpg,3,Super Stone Kg 20  |    Iv Class  | Dental Product,,,,,,,,
gum-gengisil-new-fluid-silicone-dental-product,Gum-Gengisil New Fluid Silicone | Dental Product,"<p>Fluid addition silicone to produce false gums for fixed prostheses.</p>
<p>Features: Natural pink, Resistant, Self-mixing system in cartridge that favours the product application in the gums reproduction.</p>
<p>Advantages: Millable, Precise and stable, Easy application and Definition of edges.</p>
<p>Packaging: 2 cartridges x 50 ml + 10 mixer KIT</p>",Techim,,Gingival Mask Material,"CAD CAM Products, Crown and Bridges",TRUE,Title,Default Title,,,,,SIL000025,0,shopify,,deny,manual,70,80,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/SIL000025-Fluid-addition-silicone-for-the-production-of-false-gums-Techim-Group.webp,1,Gum-Gengisil New Fluid Silicone | Dental Product,FALSE,Gum-Gengisil New Fluid Silicone | Dental Product,<p>Fluid addition silicone to produce false gums for fixed prostheses.</p>,,g,,,active
